,,,,,,,,,,,,,,
,Model / Variant,,Cyberster,,Ex Sr,,"8,249,800",,,,,,,
,,,,,,,,,,,,,,
,Consumer Scheme,,0,,Net Ex Sr  (a),,"8,249,800",,,,Fuel Cost  @10000KM/ Annum,,,
,Age,"Depriciation in Books
(b)",WDV (c=a*b),,"Tax Benefit 
(d=c*34%)",Market RV (e),"Market Value
(f=e*a)","Net Value > WDV
(g=c-f)","Value after Tax Benefit
(h=a-d)","Cost of Ownership
(i=d-f)","ICE @ Rs 10/ Km
j","EV @ Rs 2 / KM
k","Saving
(l=j-k)","Cost of owneship
(m=i-l)"
1,12 Months,40%,"4,949,880",,"1,121,973",80%,"6,599,840","-1,649,960","7,127,827","527,987","100,000","30,000","70,000","457,987"
2,24 months ,40%,"2,969,928",,"673,184",70%,"5,774,860","-2,804,932","6,454,644","679,784","200,000","60,000","140,000","539,784"
3,36 Months,40%,"1,781,957",,"403,910",60%,"4,949,880","-3,167,923","6,050,733","1,100,853","300,000","90,000","210,000","890,853"
4,48 Months ,40%,"1,069,174",,"242,346",45%,"3,712,410","-2,643,236","5,808,387","2,095,977","400,000","120,000","280,000","1,815,977"
5,60 Months ,40%,"641,504",,"145,408",35%,"2,887,430","-2,245,926","5,662,980","2,775,550","500,000","150,000","350,000","2,425,550"
,,,,,,,,,,,,,,
,,,,,"2,586,820",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Depreciation Benefit for Companies/ Business Owner,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Model / Variant,,,M9,,Ex Sr,7100000,,,,,,,
,,,,,,,,,,,,,,
,Consumer Scheme,,,,,Net Ex Sr  (a),"7,100,000",,,,,,,
,Age,Financial Year,"Depriciation in Books
","DepAmount
(b)",Accumulated Dep,"Written Down Value
(WDV)  as on end of year
(c)",,"Tax Benefit 
(d=b*33%)",,,,,,
,1 month,FY 25-26,20%, -   , -   ,0,,0,,,,,,
,13 month,FY 26-27,40%, -   , -   ,0,,0,,,,,,
,25 month,FY 27-28,40%, -   , -   ,0,,0,,,,,,
,37 Month,FY 28-29,40%, -   , -   ,0,,0,,,,,,
,49 Months ,FY 29-30,40%, -   , -   ,0,,0,,,,,,
,,,, -   ,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,For companies,,,,,,,,,,,
,Slab rate,30,Slab rate,30,Slab rate,30,,,,,,,,
,Less than 1 cr,0%,Surcharge ( Income more than 1cr <=10cr),7%,Surcharge ( Income more than 10cr),12%,,,,,,,,
,Cess,4%,Cess,4%,Cess,4%,,,,,,,,
,,31.2,,33.384,,34.944,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
